iter	RMSE
0	21.57886522
1	20.96039199
2	20.32919626
3	19.74212554
4	19.2128854
5	18.73847253
6	18.22231781
7	17.82583471
8	17.48022611
9	17.09628505
10	16.71252665
11	16.39131807
12	16.16887404
13	15.86606274
14	15.62874626
15	15.34601735
16	15.12335931
17	14.92497926
18	14.71754676
19	14.55173758
20	14.35879155
21	14.18049808
22	14.05358399
23	13.92234222
24	13.75852394
25	13.64186704
26	13.53347976
27	13.42071954
28	13.31570212
29	13.19730485
30	13.1032684
31	12.98634046
32	12.89965313
33	12.83076366
34	12.76773856
35	12.69049351
36	12.60620865
37	12.51394128
38	12.43575867
39	12.36020927
40	12.30819889
41	12.2240955
42	12.17368339
43	12.10368939
44	12.03693356
45	11.99078528
46	11.94127149
47	11.90202531
48	11.85019498
49	11.79764928
50	11.75462426
51	11.69998453
52	11.68750977
53	11.63137774
54	11.58704505
55	11.54151155
56	11.49729402
57	11.46236893
58	11.4265225
59	11.37244592
60	11.32748525
61	11.2957664
62	11.26874195
63	11.22585524
64	11.19884083
65	11.17608523
66	11.12985388
67	11.08562592
68	11.06043037
69	11.03495609
70	11.00106154
71	10.98050313
72	10.94168917
73	10.92172516
74	10.88864955
75	10.86558097
76	10.84356193
77	10.81045727
78	10.77572704
79	10.73914481
80	10.71187889
81	10.68694621
82	10.66879582
83	10.64046791
84	10.61447084
85	10.59502536
86	10.58128825
87	10.54908551
88	10.5372558
89	10.50847626
90	10.48252659
91	10.45624683
92	10.43954968
93	10.42339588
94	10.40626686
95	10.39084896
96	10.37516861
97	10.35563608
98	10.33482629
99	10.31262765
100	10.29530265
101	10.27639268
102	10.25689654
103	10.23002681
104	10.21037305
105	10.18593005
106	10.15620151
107	10.14178495
108	10.10529576
109	10.09493944
110	10.07959566
111	10.05990282
112	10.04177125
113	10.0173843
114	10.00274342
115	9.994728722
116	9.978491347
117	9.956770288
118	9.940343822
119	9.924558748
120	9.907326768
121	9.890416482
122	9.862030274
123	9.82835383
124	9.81098301
125	9.796526329
126	9.781804906
127	9.763516272
128	9.750162173
129	9.73290076
130	9.718295444
131	9.696638864
132	9.684273351
133	9.67534174
134	9.653602586
135	9.636968414
136	9.615498828
137	9.605858611
138	9.595442578
139	9.579731285
140	9.565543604
141	9.551944758
142	9.534469649
143	9.519109781
144	9.499352016
145	9.486436942
146	9.471296478
147	9.457467159
148	9.430297045
149	9.420316196
150	9.402471529
151	9.383750879
152	9.365269445
153	9.352247577
154	9.336400176
155	9.313109246
156	9.296420007
