iter	Passed	Remaining
0	6	6241
1	10	5177
2	12	4131
3	15	3790
4	17	3441
5	19	3202
6	21	3027
7	23	2915
8	25	2822
9	29	2912
10	31	2814
11	33	2732
12	35	2659
13	36	2603
14	43	2830
15	47	2909
16	49	2859
17	51	2806
18	53	2760
19	59	2922
20	61	2868
21	63	2829
22	66	2836
23	75	3056
24	77	3022
25	83	3143
26	88	3190
27	93	3244
28	97	3255
29	100	3247
30	102	3202
31	105	3186
32	107	3149
33	109	3112
34	115	3172
35	117	3156
36	120	3124
37	122	3090
38	124	3061
39	126	3031
40	129	3028
41	132	3012
42	136	3036
43	138	3007
44	140	2983
45	143	2982
46	146	2961
47	148	2938
48	150	2917
49	152	2899
50	154	2878
51	156	2855
52	158	2838
53	161	2822
54	163	2809
55	166	2807
56	174	2888
57	178	2895
58	185	2965
59	187	2944
60	192	2969
61	203	3074
62	206	3071
63	211	3087
64	213	3066
65	215	3047
66	217	3027
67	219	3009
68	221	2991
69	223	2974
70	229	3007
71	231	2989
72	234	2972
73	236	2959
74	242	2986
75	244	2968
76	246	2949
77	253	3000
78	256	2989
79	258	2970
80	260	2955
81	262	2938
82	264	2921
83	266	2905
84	268	2888
85	270	2873
86	272	2860
87	274	2845
88	284	2912
89	290	2938
90	297	2975
91	303	2998
92	311	3038
93	317	3059
94	322	3076
95	324	3059
96	327	3044
97	331	3046
98	334	3041
99	336	3025
100	338	3010
101	341	3010
102	343	2994
103	346	2981
104	347	2966
105	349	2951
106	351	2936
107	354	2927
108	356	2913
109	358	2900
110	360	2886
111	362	2872
112	364	2859
113	366	2846
114	369	2847
115	371	2834
116	374	2822
117	376	2810
118	378	2799
119	380	2787
120	382	2776
121	384	2768
122	386	2757
123	388	2746
124	390	2736
125	392	2724
126	394	2713
127	397	2707
128	399	2696
129	401	2689
130	403	2678
131	405	2667
132	407	2657
133	409	2649
134	411	2638
135	413	2628
136	423	2668
137	425	2658
138	430	2664
139	432	2654
140	438	2669
141	444	2686
142	448	2689
143	450	2679
144	452	2669
145	454	2660
146	456	2650
147	462	2664
148	465	2656
149	466	2645
150	468	2636
151	479	2673
152	484	2683
153	486	2672
154	488	2663
155	490	2654
156	492	2647
157	494	2637
158	497	2628
159	498	2619
160	500	2610
161	504	2609
162	507	2607
163	509	2599
164	511	2590
165	513	2582
166	515	2572
167	517	2563
168	520	2561
169	522	2553
170	525	2547
171	527	2539
172	529	2531
173	536	2546
174	538	2538
175	540	2531
176	542	2522
177	545	2520
178	547	2512
179	549	2504
180	551	2497
181	556	2499
182	559	2499
183	561	2490
184	563	2483
185	565	2476
186	567	2469
187	570	2462
188	572	2456
189	579	2471
190	584	2475
191	586	2469
192	588	2461
193	590	2453
194	592	2446
195	594	2439
196	596	2432
197	598	2424
198	601	2419
199	606	2427
200	608	2419
201	610	2412
202	612	2405
203	614	2398
204	618	2399
205	625	2409
206	627	2402
207	629	2395
208	631	2389
209	633	2381
210	635	2378
211	638	2371
212	639	2364
213	642	2358
214	643	2350
215	645	2343
216	650	2347
217	653	2343
218	655	2338
219	657	2332
220	659	2325
221	661	2318
222	663	2311
223	665	2304
224	667	2299
225	672	2304
226	675	2300
227	677	2293
228	679	2287
229	681	2280
230	683	2274
231	684	2267
232	695	2291
233	700	2293
234	702	2287
235	704	2280
236	706	2274
237	710	2274
238	712	2269
239	714	2262
240	716	2257
241	718	2251
242	721	2246
243	723	2240
244	725	2235
245	727	2229
246	729	2223
247	731	2217
248	733	2212
249	736	2208
250	738	2202
251	740	2198
252	742	2192
253	744	2187
254	746	2181
255	751	2182
256	753	2177
257	754	2171
258	757	2165
259	759	2160
260	761	2154
261	763	2149
262	770	2158
263	777	2167
264	779	2163
265	781	2157
266	784	2152
267	786	2148
268	788	2142
269	790	2137
270	792	2132
271	794	2126
272	796	2121
273	798	2115
274	800	2110
275	802	2105
276	804	2099
277	806	2094
278	808	2088
279	810	2083
280	812	2077
281	813	2072
282	816	2067
283	817	2062
284	819	2056
285	821	2052
286	824	2048
287	826	2042
288	828	2037
289	830	2032
290	831	2027
291	833	2021
292	835	2016
293	837	2011
294	839	2006
295	841	2001
296	843	1996
297	845	1991
298	847	1986
299	849	1981
300	851	1976
301	856	1978
302	858	1975
303	860	1970
304	862	1965
305	864	1960
306	866	1955
307	868	1951
308	870	1946
309	872	1941
310	874	1936
311	876	1931
312	877	1926
313	879	1921
314	884	1923
315	886	1919
316	888	1915
317	892	1913
318	894	1908
319	896	1904
320	898	1899
321	900	1895
322	902	1890
323	904	1886
324	905	1881
325	907	1876
326	909	1872
327	911	1867
328	913	1863
329	920	1869
330	922	1865
331	925	1861
332	928	1859
333	930	1855
334	932	1850
335	934	1846
336	936	1841
337	938	1837
338	941	1834
339	943	1830
340	946	1828
341	948	1824
342	950	1819
343	952	1815
344	956	1816
345	958	1812
346	960	1808
347	962	1803
348	964	1799
349	969	1800
350	972	1799
351	974	1794
352	976	1789
353	978	1785
354	980	1781
355	982	1776
356	984	1773
357	986	1769
358	988	1765
359	991	1761
360	992	1757
361	994	1753
362	996	1749
363	999	1745
364	1001	1741
365	1002	1737
366	1004	1733
367	1006	1728
368	1008	1724
369	1010	1720
370	1012	1716
371	1014	1712
372	1019	1713
373	1025	1715
374	1027	1711
375	1028	1707
376	1030	1703
377	1034	1701
378	1036	1697
379	1038	1694
380	1040	1690
381	1042	1686
382	1044	1682
383	1046	1678
384	1049	1676
385	1056	1679
386	1058	1676
387	1060	1673
388	1062	1668
389	1064	1664
390	1066	1661
391	1068	1657
392	1070	1653
393	1072	1649
394	1074	1645
395	1076	1641
396	1078	1637
397	1080	1633
398	1082	1630
399	1084	1626
400	1086	1622
401	1088	1618
402	1090	1614
403	1091	1610
404	1093	1606
405	1095	1603
406	1097	1599
407	1099	1595
408	1101	1591
409	1103	1588
410	1105	1584
411	1107	1580
412	1109	1576
413	1111	1573
414	1113	1569
415	1115	1565
416	1119	1564
417	1126	1568
418	1134	1572
419	1136	1568
420	1138	1565
421	1139	1561
422	1141	1557
423	1143	1553
424	1145	1549
425	1147	1545
426	1149	1542
427	1151	1538
428	1152	1534
429	1154	1530
430	1156	1527
431	1158	1523
432	1160	1520
433	1166	1520
434	1174	1525
435	1176	1521
436	1178	1518
437	1182	1517
438	1184	1514
439	1186	1510
440	1188	1506
441	1190	1502
442	1192	1498
443	1194	1495
444	1203	1500
445	1208	1500
446	1209	1496
447	1212	1493
448	1213	1489
449	1215	1486
450	1217	1482
451	1219	1479
452	1221	1475
453	1223	1471
454	1225	1468
455	1230	1468
456	1232	1464
457	1234	1460
458	1236	1457
459	1238	1453
460	1240	1450
461	1246	1451
462	1253	1453
463	1257	1452
464	1259	1448
465	1261	1445
466	1266	1444
467	1272	1446
468	1274	1442
469	1276	1439
470	1278	1435
471	1279	1431
472	1282	1428
473	1284	1424
474	1285	1421
475	1287	1417
476	1289	1414
477	1291	1410
478	1293	1407
479	1295	1403
480	1297	1399
481	1299	1396
482	1301	1392
483	1303	1389
484	1308	1389
485	1314	1389
486	1316	1386
487	1318	1382
488	1320	1379
489	1322	1375
490	1323	1372
491	1331	1374
492	1336	1374
493	1343	1376
494	1345	1372
495	1348	1369
496	1350	1366
497	1351	1362
498	1354	1359
499	1356	1356
500	1358	1352
501	1365	1354
502	1371	1355
503	1373	1351
504	1375	1348
505	1379	1346
506	1387	1349
507	1393	1349
508	1399	1350
509	1407	1352
510	1409	1349
511	1416	1350
512	1422	1350
513	1429	1351
514	1431	1347
515	1434	1345
516	1440	1345
517	1444	1344
518	1446	1340
519	1448	1337
520	1450	1333
521	1452	1330
522	1459	1331
523	1461	1327
524	1464	1324
525	1466	1321
526	1471	1320
527	1472	1316
528	1474	1313
529	1476	1309
530	1478	1306
531	1480	1302
532	1482	1299
533	1488	1298
534	1489	1295
535	1492	1291
536	1494	1288
537	1496	1284
538	1497	1281
539	1499	1277
540	1501	1274
541	1503	1270
542	1505	1267
543	1507	1263
544	1509	1260
545	1511	1256
546	1512	1252
547	1514	1249
548	1519	1248
549	1521	1245
550	1523	1241
551	1525	1238
552	1527	1234
553	1529	1231
554	1531	1227
555	1534	1225
556	1536	1222
557	1538	1218
558	1540	1215
559	1544	1213
560	1546	1210
561	1549	1207
562	1551	1204
563	1553	1201
564	1555	1197
565	1557	1194
566	1560	1191
567	1565	1190
568	1567	1187
569	1569	1184
570	1571	1180
571	1573	1177
572	1577	1175
573	1579	1172
574	1581	1168
575	1583	1165
576	1585	1162
577	1587	1158
578	1589	1155
579	1597	1157
580	1600	1154
581	1607	1154
582	1610	1151
583	1612	1148
584	1615	1145
585	1617	1142
586	1619	1139
587	1624	1137
588	1627	1135
589	1629	1132
590	1631	1129
591	1636	1127
592	1638	1124
593	1644	1123
594	1646	1120
595	1648	1117
596	1650	1113
597	1652	1110
598	1654	1107
599	1656	1104
600	1658	1100
601	1660	1097
602	1662	1094
603	1664	1091
604	1668	1089
605	1670	1086
606	1672	1082
607	1674	1079
608	1676	1076
609	1679	1073
610	1681	1070
611	1687	1069
612	1690	1066
613	1692	1063
614	1694	1060
615	1696	1057
616	1699	1054
617	1701	1051
618	1703	1048
619	1705	1045
620	1708	1042
621	1711	1039
622	1713	1036
623	1715	1033
624	1717	1030
625	1719	1027
626	1721	1024
627	1724	1021
628	1726	1018
629	1728	1015
630	1730	1011
631	1732	1008
632	1735	1005
633	1737	1002
634	1738	999
635	1740	996
636	1742	993
637	1744	989
638	1746	986
639	1748	983
640	1750	980
641	1752	977
642	1755	974
643	1757	971
644	1763	970
645	1770	970
646	1773	967
647	1779	966
648	1781	963
649	1783	960
650	1785	957
651	1787	954
652	1790	951
653	1791	948
654	1793	944
655	1795	941
656	1797	938
657	1799	935
658	1801	932
659	1803	928
660	1805	925
661	1810	924
662	1818	924
663	1820	921
664	1822	918
665	1824	915
666	1826	912
667	1828	908
668	1830	905
669	1835	904
670	1844	904
671	1850	902
672	1856	902
673	1866	902
674	1870	900
675	1872	897
676	1875	894
677	1877	891
678	1880	888
679	1882	885
680	1888	884
681	1890	881
682	1893	878
683	1895	875
684	1897	872
685	1899	869
686	1901	866
687	1904	863
688	1906	860
689	1913	859
690	1920	858
691	1927	857
692	1929	854
693	1931	851
694	1933	848
695	1935	845
696	1937	842
697	1939	839
698	1941	836
699	1943	833
700	1945	829
701	1948	827
702	1950	823
703	1952	821
704	1957	819
705	1959	815
706	1961	812
707	1963	809
708	1965	806
709	1967	803
710	1969	800
711	1971	797
712	1973	794
713	1975	791
714	1977	788
715	1979	785
716	1981	782
717	1983	779
718	1987	776
719	1988	773
720	1992	771
721	1994	767
722	1996	764
723	1998	761
724	2003	759
725	2005	756
726	2007	753
727	2009	750
728	2011	747
729	2013	744
730	2015	741
731	2017	738
732	2019	735
733	2025	734
734	2032	732
735	2039	731
736	2040	728
737	2042	725
738	2046	722
739	2048	719
740	2050	716
741	2052	713
742	2056	711
743	2058	708
744	2060	705
745	2062	702
746	2065	699
747	2067	696
748	2072	694
749	2077	692
750	2083	690
751	2087	688
752	2092	686
753	2099	684
754	2107	683
755	2114	682
756	2116	679
757	2119	676
758	2121	673
759	2124	670
760	2126	667
761	2128	664
762	2130	661
763	2132	658
764	2134	655
765	2136	652
766	2138	649
767	2143	647
768	2147	645
769	2149	642
770	2153	639
771	2160	638
772	2167	636
773	2171	634
774	2178	632
775	2183	630
776	2191	628
777	2197	627
778	2208	626
779	2212	624
780	2214	620
781	2216	617
782	2218	614
783	2220	611
784	2223	608
785	2225	605
786	2227	602
787	2229	599
788	2231	596
789	2233	593
790	2241	592
791	2247	590
792	2252	587
793	2254	584
794	2257	582
795	2261	579
796	2263	576
797	2265	573
798	2267	570
799	2269	567
800	2273	564
801	2275	561
802	2277	558
803	2279	555
804	2281	552
805	2283	549
806	2293	548
807	2300	546
808	2309	545
809	2315	543
810	2317	540
811	2319	537
812	2321	533
813	2323	530
814	2325	527
815	2327	524
816	2329	521
817	2331	518
818	2339	517
819	2344	514
820	2346	511
821	2347	508
822	2350	505
823	2352	502
824	2353	499
825	2355	496
826	2357	493
827	2359	490
828	2361	487
829	2363	484
830	2365	481
831	2368	478
832	2370	475
833	2372	472
834	2374	469
835	2376	466
836	2382	463
837	2387	461
838	2394	459
839	2396	456
840	2398	453
841	2400	450
842	2404	447
843	2405	444
844	2408	441
845	2409	438
846	2412	435
847	2414	432
848	2421	430
849	2425	428
850	2427	425
851	2429	422
852	2432	419
853	2434	416
854	2436	413
855	2438	410
856	2440	407
857	2442	404
858	2444	401
859	2449	398
860	2451	395
861	2456	393
862	2458	390
863	2460	387
864	2462	384
865	2465	381
866	2467	378
867	2469	375
868	2472	372
869	2474	369
870	2476	366
871	2478	363
872	2480	360
873	2487	358
874	2494	356
875	2499	353
876	2506	351
877	2511	348
878	2513	345
879	2515	343
880	2517	340
881	2519	337
882	2521	334
883	2523	331
884	2525	328
885	2527	325
886	2529	322
887	2530	319
888	2532	316
889	2534	313
890	2536	310
891	2541	307
892	2543	304
893	2548	302
894	2553	299
895	2555	296
896	2558	293
897	2560	290
898	2562	287
899	2565	285
900	2570	282
901	2572	279
902	2574	276
903	2578	273
904	2580	270
905	2582	267
906	2584	264
907	2586	262
908	2588	259
909	2590	256
910	2591	253
911	2593	250
912	2596	247
913	2598	244
914	2599	241
915	2605	238
916	2611	236
917	2613	233
918	2620	231
919	2623	228
920	2625	225
921	2628	222
922	2633	219
923	2642	217
924	2644	214
925	2653	212
926	2658	209
927	2665	206
928	2672	204
929	2676	201
930	2678	198
931	2684	195
932	2687	193
933	2689	190
934	2691	187
935	2693	184
936	2695	181
937	2697	178
938	2700	175
939	2702	172
940	2704	169
941	2706	166
942	2708	163
943	2710	160
944	2712	157
945	2714	154
946	2716	152
947	2718	149
948	2720	146
949	2726	143
950	2737	141
951	2739	138
952	2741	135
953	2743	132
954	2745	129
955	2747	126
956	2749	123
957	2751	120
958	2753	117
959	2755	114
960	2756	111
961	2758	108
962	2760	106
963	2762	103
964	2764	100
965	2766	97
966	2768	94
967	2770	91
968	2773	88
969	2775	85
970	2778	82
971	2780	80
972	2781	77
973	2783	74
974	2786	71
975	2790	68
976	2792	65
977	2794	62
978	2796	59
979	2798	57
980	2805	54
981	2813	51
982	2817	48
983	2819	45
984	2821	42
985	2823	40
986	2825	37
987	2827	34
988	2829	31
989	2831	28
990	2833	25
991	2840	22
992	2847	20
993	2852	17
994	2854	14
995	2856	11
996	2863	8
997	2867	5
998	2869	2
999	2870	0
