iter	Passed	Remaining
0	14	14036
1	18	8983
2	21	7247
3	31	7957
4	42	8538
5	53	8918
6	58	8340
7	62	7798
8	69	7618
9	72	7225
10	77	6988
11	81	6721
12	86	6545
13	90	6353
14	94	6210
15	101	6235
16	109	6337
17	118	6470
18	130	6749
19	139	6831
20	145	6797
21	150	6682
22	154	6549
23	158	6427
24	161	6314
25	166	6236
26	170	6141
27	174	6051
28	179	6009
29	183	5924
30	187	5871
31	192	5823
32	199	5843
33	203	5795
34	207	5732
35	211	5674
36	216	5646
37	224	5678
38	232	5734
39	237	5690
40	244	5722
41	250	5718
42	255	5694
43	260	5664
44	265	5624
45	273	5679
46	283	5746
47	294	5847
48	304	5915
49	307	5835
50	310	5785
51	314	5740
52	318	5696
53	322	5652
54	326	5609
55	330	5573
56	334	5532
57	338	5500
58	342	5462
59	346	5424
60	350	5393
61	357	5407
62	363	5410
63	367	5378
64	377	5424
65	381	5394
66	386	5376
67	390	5352
68	394	5324
69	398	5291
70	402	5260
71	405	5230
72	409	5200
73	413	5171
74	417	5143
75	420	5115
76	424	5086
77	428	5059
78	431	5033
79	440	5066
80	444	5041
81	447	5015
82	451	4988
83	455	4968
84	461	4971
85	465	4948
86	469	4926
87	473	4904
88	477	4884
89	480	4861
90	484	4841
91	493	4874
92	499	4872
93	503	4852
94	508	4845
95	512	4825
96	516	4805
97	520	4786
98	524	4770
99	532	4788
100	535	4770
101	539	4751
102	543	4733
103	552	4762
104	559	4765
105	563	4756
106	571	4771
107	578	4779
108	590	4829
109	596	4822
110	601	4814
111	604	4795
112	611	4797
113	615	4780
114	624	4804
115	627	4785
116	631	4767
117	635	4751
118	640	4743
119	645	4735
120	649	4720
121	655	4713
122	661	4717
123	667	4715
124	673	4716
125	678	4709
126	685	4709
127	692	4719
128	698	4716
129	702	4700
130	706	4684
131	711	4677
132	718	4685
133	728	4705
134	731	4689
135	735	4674
136	739	4660
137	743	4644
138	747	4632
139	752	4624
140	759	4625
141	768	4646
142	781	4686
143	788	4686
144	792	4672
145	796	4659
146	802	4654
147	806	4641
148	813	4643
149	816	4628
150	822	4624
151	826	4611
152	830	4599
153	836	4596
154	840	4584
155	844	4570
156	850	4564
157	857	4571
158	862	4561
159	866	4550
160	870	4536
161	874	4522
162	878	4511
163	883	4504
164	888	4494
165	892	4482
166	895	4468
167	899	4454
168	904	4445
169	909	4440
170	913	4427
171	917	4415
172	925	4424
173	929	4411
174	933	4399
175	938	4392
176	942	4381
177	950	4387
178	953	4374
179	957	4363
180	962	4356
181	970	4361
182	974	4352
183	979	4343
184	983	4333
185	987	4321
186	991	4312
187	995	4301
188	1003	4304
189	1007	4293
190	1012	4289
191	1022	4302
192	1028	4301
193	1033	4292
194	1039	4292
195	1043	4281
196	1048	4275
197	1052	4264
198	1056	4253
199	1060	4242
200	1065	4234
201	1069	4224
202	1073	4213
203	1078	4206
204	1081	4195
205	1085	4183
206	1089	4172
207	1093	4163
208	1097	4152
209	1100	4141
210	1104	4130
211	1108	4119
212	1112	4109
213	1115	4097
214	1119	4087
215	1127	4090
216	1130	4080
217	1134	4070
218	1139	4062
219	1142	4052
220	1146	4042
221	1150	4032
222	1154	4023
223	1159	4015
224	1162	4005
225	1166	3995
226	1170	3985
227	1174	3976
228	1179	3969
229	1182	3960
230	1186	3950
231	1190	3941
232	1194	3932
233	1198	3923
234	1202	3914
235	1206	3906
236	1210	3897
237	1214	3888
238	1219	3881
239	1224	3877
240	1228	3868
241	1232	3859
242	1236	3851
243	1240	3843
244	1245	3836
245	1248	3827
246	1252	3818
247	1256	3809
248	1261	3804
249	1265	3795
250	1269	3788
251	1273	3780
252	1279	3776
253	1282	3768
254	1289	3767
255	1295	3763
256	1300	3759
257	1303	3750
258	1307	3741
259	1311	3731
260	1319	3734
261	1326	3736
262	1331	3731
263	1337	3727
264	1340	3719
265	1345	3711
266	1349	3704
267	1352	3695
268	1356	3687
269	1360	3678
270	1364	3670
271	1368	3662
272	1372	3653
273	1375	3645
274	1379	3637
275	1383	3628
276	1387	3621
277	1393	3620
278	1398	3612
279	1406	3615
280	1412	3615
281	1416	3606
282	1420	3598
283	1426	3595
284	1430	3588
285	1434	3580
286	1438	3572
287	1442	3566
288	1453	3575
289	1460	3574
290	1464	3567
291	1471	3567
292	1475	3559
293	1478	3551
294	1484	3547
295	1488	3539
296	1492	3532
297	1496	3525
298	1503	3524
299	1510	3525
300	1514	3517
301	1518	3510
302	1524	3506
303	1533	3510
304	1537	3503
305	1541	3496
306	1546	3489
307	1549	3482
308	1554	3475
309	1558	3467
310	1561	3459
311	1569	3460
312	1573	3453
313	1577	3446
314	1583	3442
315	1586	3435
316	1592	3431
317	1596	3424
318	1600	3416
319	1605	3411
320	1609	3404
321	1613	3396
322	1617	3389
323	1621	3382
324	1624	3374
325	1628	3367
326	1635	3366
327	1639	3359
328	1643	3351
329	1649	3349
330	1654	3343
331	1657	3335
332	1661	3328
333	1665	3321
334	1669	3314
335	1673	3307
336	1677	3300
337	1682	3294
338	1687	3290
339	1695	3291
340	1703	3292
341	1712	3294
342	1717	3290
343	1727	3294
344	1733	3290
345	1737	3283
346	1740	3276
347	1744	3269
348	1748	3261
349	1756	3262
350	1760	3255
351	1764	3248
352	1768	3241
353	1772	3233
354	1776	3227
355	1782	3223
356	1786	3217
357	1794	3217
358	1802	3218
359	1806	3211
360	1810	3204
361	1813	3196
