iter	Passed	Remaining
0	8	8235
1	18	9395
2	27	9251
3	38	9659
4	48	9718
5	58	9614
6	67	9560
7	76	9466
8	85	9360
9	93	9300
10	102	9234
11	111	9172
12	120	9129
13	129	9116
14	138	9091
15	147	9050
16	156	9071
17	166	9091
18	177	9174
19	186	9137
20	195	9136
21	204	9093
22	215	9149
23	224	9137
24	237	9253
25	246	9247
26	257	9289
27	267	9281
28	276	9260
29	285	9226
30	293	9188
31	303	9191
32	313	9192
33	322	9174
34	331	9148
35	340	9114
36	350	9115
37	359	9092
38	367	9062
39	379	9102
40	388	9084
41	397	9069
42	406	9042
43	415	9018
44	423	8988
45	432	8965
46	441	8945
47	450	8936
48	459	8916
49	469	8921
50	480	8948
51	490	8948
52	499	8929
53	510	8944
54	519	8934
55	530	8936
56	541	8958
57	550	8939
58	560	8938
59	570	8938
60	582	8971
61	594	8996
62	603	8980
63	612	8963
64	622	8960
65	633	8963
66	646	9003
67	655	8983
68	666	8995
69	675	8976
70	685	8963
71	693	8944
72	702	8924
73	712	8912
74	721	8894
75	735	8940
76	740	8878
77	750	8866
78	758	8845
79	771	8875
80	780	8855
81	788	8832
82	797	8808
83	805	8786
84	814	8769
85	823	8753
86	832	8733
87	843	8739
88	853	8736
89	862	8718
90	871	8700
91	880	8689
92	889	8670
93	898	8655
94	908	8659
95	918	8649
96	927	8634
97	937	8624
98	945	8606
99	954	8588
100	963	8573
101	972	8561
102	981	8544
103	989	8528
104	998	8514
105	1007	8500
106	1016	8484
107	1025	8468
108	1035	8465
109	1045	8462
110	1054	8445
111	1067	8463
112	1075	8446
113	1084	8428
114	1093	8411
115	1102	8404
116	1111	8390
117	1128	8431
118	1137	8423
119	1146	8410
120	1157	8411
121	1167	8398
122	1176	8387
123	1186	8383
124	1195	8370
125	1205	8360
126	1214	8349
127	1223	8333
128	1231	8315
129	1240	8298
130	1248	8280
131	1256	8264
132	1265	8251
133	1275	8240
134	1284	8231
135	1293	8217
136	1302	8203
137	1310	8188
138	1324	8206
139	1335	8201
140	1344	8188
141	1353	8177
142	1361	8162
143	1371	8151
144	1385	8172
145	1395	8164
146	1405	8153
147	1413	8139
148	1422	8126
149	1434	8126
150	1444	8123
151	1453	8110
152	1465	8110
153	1474	8099
154	1483	8089
155	1492	8076
156	1501	8062
157	1511	8052
158	1519	8038
159	1528	8026
160	1537	8014
161	1547	8005
162	1556	7991
163	1568	7993
164	1577	7983
165	1586	7971
166	1595	7959
167	1604	7947
168	1613	7932
169	1621	7917
170	1630	7905
171	1640	7899
172	1650	7891
173	1660	7882
174	1672	7882
175	1681	7872
176	1690	7860
177	1699	7848
178	1708	7836
179	1717	7822
180	1726	7813
181	1735	7801
182	1744	7787
183	1757	7792
184	1766	7783
185	1776	7772
186	1785	7762
187	1794	7750
188	1803	7737
189	1816	7743
190	1825	7731
191	1834	7718
192	1842	7704
193	1855	7708
194	1864	7695
195	1872	7681
196	1881	7668
197	1890	7656
198	1898	7643
199	1908	7632
200	1917	7620
201	1925	7606
202	1934	7593
203	1942	7579
204	1951	7566
205	1959	7553
206	1968	7539
207	1976	7525
208	1985	7512
209	1994	7503
210	2003	7490
211	2011	7477
212	2020	7465
213	2028	7451
214	2038	7443
215	2047	7430
216	2055	7417
217	2064	7405
218	2072	7392
219	2081	7379
220	2090	7369
221	2099	7357
222	2111	7357
223	2120	7345
224	2128	7332
225	2137	7320
226	2145	7307
227	2154	7295
228	2163	7282
229	2171	7271
230	2181	7260
231	2192	7257
232	2201	7245
233	2209	7233
234	2217	7220
235	2227	7211
236	2236	7199
237	2246	7191
238	2254	7179
239	2263	7166
240	2271	7154
241	2280	7143
242	2289	7132
243	2298	7121
244	2307	7110
245	2317	7103
246	2326	7092
247	2337	7086
248	2346	7076
249	2355	7067
250	2365	7058
251	2373	7046
252	2383	7036
253	2392	7026
254	2406	7032
255	2416	7021
256	2424	7010
257	2433	6999
258	2442	6986
259	2451	6975
260	2460	6967
261	2469	6955
262	2477	6943
263	2487	6934
264	2495	6922
265	2506	6916
266	2515	6904
267	2524	6894
268	2532	6882
269	2540	6870
270	2550	6860
271	2558	6848
272	2567	6837
273	2576	6826
274	2586	6818
275	2595	6808
276	2604	6796
277	2614	6789
278	2622	6778
279	2631	6767
280	2640	6756
281	2648	6744
282	2657	6733
283	2667	6724
284	2677	6717
285	2686	6706
286	2695	6696
287	2706	6690
288	2715	6681
289	2724	6670
290	2735	6664
291	2744	6654
292	2753	6643
293	2761	6631
294	2770	6619
295	2778	6608
296	2787	6598
297	2796	6588
298	2805	6578
299	2814	6566
300	2822	6555
301	2831	6544
302	2843	6540
303	2851	6529
304	2860	6517
305	2870	6511
306	2880	6502
307	2889	6492
308	2899	6484
309	2910	6477
310	2919	6468
311	2931	6463
312	2940	6453
313	2948	6442
314	2957	6431
315	2966	6420
316	2975	6410
317	2984	6401
318	2993	6390
319	3002	6380
320	3011	6370
321	3019	6358
322	3028	6347
323	3037	6336
324	3046	6326
325	3054	6315
326	3063	6304
327	3072	6295
328	3081	6284
329	3092	6278
330	3103	6273
331	3114	6266
332	3123	6256
333	3132	6246
334	3142	6237
335	3151	6227
336	3161	6218
337	3169	6208
338	3182	6205
339	3191	6194
340	3200	6184
341	3209	6174
342	3217	6163
343	3226	6152
344	3237	6146
345	3246	6136
346	3255	6127
347	3264	6116
348	3274	6107
349	3283	6097
350	3292	6087
351	3300	6076
352	3309	6066
353	3318	6056
354	3329	6049
355	3338	6038
356	3346	6027
357	3355	6017
358	3364	6007
359	3373	5997
360	3383	5988
361	3394	5981
362	3405	5975
363	3414	5966
364	3422	5955
365	3431	5944
366	3440	5934
367	3449	5924
368	3458	5913
369	3467	5903
370	3475	5893
371	3485	5883
372	3494	5873
373	3504	5865
374	3513	5856
375	3523	5847
376	3532	5837
377	3541	5828
378	3553	5822
379	3563	5813
380	3571	5802
381	3581	5793
382	3589	5783
383	3598	5772
384	3606	5761
385	3615	5750
386	3625	5742
387	3634	5733
388	3644	5724
389	3653	5714
390	3664	5706
391	3679	5706
392	3691	5701
393	3700	5692
394	3710	5683
395	3721	5675
396	3730	5665
397	3739	5656
398	3749	5646
399	3757	5636
400	3767	5627
401	3776	5617
402	3785	5608
403	3794	5597
404	3803	5588
405	3812	5578
406	3825	5573
407	3836	5566
408	3856	5572
409	3866	5564
410	3875	5554
411	3884	5543
412	3895	5536
413	3904	5526
414	3912	5515
415	3921	5504
416	3930	5495
417	3941	5488
418	3951	5479
419	3960	5469
420	3969	5459
421	3978	5449
422	3988	5440
423	3996	5429
424	4005	5419
425	4014	5408
426	4026	5403
427	4035	5393
428	4044	5383
429	4053	5373
430	4062	5363
431	4072	5354
432	4081	5344
433	4090	5334
434	4100	5326
435	4110	5317
436	4119	5306
437	4128	5297
438	4138	5288
439	4147	5278
440	4155	5268
441	4164	5257
442	4173	5248
443	4187	5243
444	4197	5234
445	4206	5225
446	4217	5217
447	4226	5207
448	4236	5198
449	4245	5188
450	4253	5178
451	4262	5167
452	4271	5157
453	4280	5147
454	4288	5136
455	4297	5126
456	4306	5117
457	4315	5107
458	4325	5098
459	4334	5088
460	4343	5078
461	4352	5068
462	4361	5058
463	4370	5048
464	4378	5037
465	4387	5027
466	4396	5017
467	4405	5008
468	4414	4997
469	4422	4987
470	4433	4978
471	4442	4969
472	4451	4959
473	4459	4948
474	4468	4939
475	4478	4929
476	4487	4919
477	4497	4911
478	4506	4901
479	4518	4894
480	4527	4884
481	4536	4875
482	4548	4868
483	4558	4860
484	4568	4850
485	4577	4840
486	4586	4831
487	4596	4822
488	4608	4815
489	4617	4805
490	4626	4795
491	4635	4786
492	4644	4775
493	4652	4765
494	4661	4755
495	4671	4746
496	4680	4736
497	4689	4726
498	4698	4717
499	4708	4708
500	4718	4700
501	4727	4689
502	4736	4679
503	4745	4670
504	4757	4663
505	4766	4653
506	4775	4643
507	4785	4634
508	4795	4625
509	4803	4615
510	4812	4605
511	4821	4595
512	4831	4586
513	4839	4576
514	4848	4565
515	4857	4556
516	4867	4547
517	4877	4538
518	4891	4533
519	4902	4524
520	4911	4515
521	4919	4505
522	4928	4495
523	4938	4485
524	4946	4475
525	4954	4464
526	4963	4455
527	4974	4446
528	4983	4437
529	4992	4427
530	5005	4421
531	5015	4411
532	5024	4402
533	5033	4392
534	5042	4382
535	5051	4373
536	5060	4363
537	5069	4353
538	5078	4343
539	5087	4333
540	5096	4323
541	5104	4313
542	5113	4303
543	5122	4293
544	5132	4284
545	5140	4274
546	5150	4265
547	5158	4255
548	5167	4245
549	5177	4236
550	5187	4227
551	5196	4217
552	5205	4207
553	5214	4197
554	5223	4187
555	5231	4177
556	5240	4167
557	5249	4158
558	5258	4148
559	5266	4138
560	5275	4128
561	5284	4118
562	5293	4108
563	5302	4098
564	5310	4088
565	5319	4078
566	5327	4068
567	5336	4058
568	5345	4049
569	5354	4039
570	5363	4029
571	5372	4019
572	5383	4012
573	5392	4002
574	5401	3992
575	5410	3982
576	5418	3972
577	5427	3962
578	5436	3952
579	5444	3942
580	5453	3933
581	5464	3924
582	5474	3915
583	5483	3905
584	5492	3896
585	5501	3886
586	5510	3877
587	5518	3866
588	5527	3857
589	5536	3847
590	5546	3838
591	5555	3828
592	5563	3818
593	5572	3808
594	5581	3799
595	5590	3789
596	5599	3779
597	5607	3769
598	5617	3760
599	5625	3750
600	5634	3740
601	5643	3731
602	5652	3721
603	5661	3711
604	5669	3701
605	5678	3691
606	5687	3682
607	5696	3672
608	5705	3662
609	5714	3653
610	5722	3643
611	5731	3633
612	5740	3623
613	5748	3614
614	5763	3608
615	5773	3599
616	5782	3589
617	5790	3579
618	5799	3569
619	5808	3559
620	5816	3549
621	5825	3540
622	5837	3532
623	5846	3523
624	5855	3513
625	5865	3504
626	5873	3494
627	5882	3484
628	5893	3476
629	5902	3466
630	5911	3457
631	5920	3447
632	5929	3437
633	5938	3428
634	5948	3419
635	5959	3410
636	5969	3401
637	5978	3392
638	5987	3382
639	5996	3373
640	6005	3363
641	6013	3353
642	6024	3345
643	6034	3335
644	6044	3326
645	6052	3316
646	6061	3307
647	6070	3297
648	6079	3287
649	6087	3278
650	6096	3268
651	6105	3258
652	6117	3251
653	6126	3241
654	6136	3232
655	6145	3222
656	6153	3212
657	6162	3203
658	6171	3193
659	6180	3183
660	6189	3174
661	6199	3165
662	6209	3156
663	6219	3147
664	6229	3138
665	6238	3128
666	6247	3119
667	6256	3109
668	6265	3099
669	6274	3090
670	6283	3080
671	6296	3073
672	6306	3064
673	6317	3055
674	6328	3046
675	6338	3037
676	6349	3029
677	6358	3019
678	6367	3010
679	6377	3001
680	6386	2991
681	6396	2982
682	6405	2972
683	6414	2963
684	6426	2955
685	6435	2945
686	6443	2935
687	6453	2926
688	6462	2916
689	6471	2907
690	6480	2897
691	6491	2889
692	6500	2879
693	6509	2870
694	6518	2860
695	6527	2851
696	6536	2841
697	6546	2832
698	6555	2822
699	6566	2814
700	6576	2804
701	6584	2795
702	6594	2785
703	6602	2776
704	6611	2766
705	6619	2756
706	6629	2747
707	6638	2737
708	6646	2728
709	6656	2718
710	6665	2709
711	6673	2699
712	6682	2689
713	6691	2680
714	6700	2670
715	6709	2661
716	6718	2651
717	6727	2642
718	6736	2632
719	6752	2625
720	6761	2616
721	6769	2606
722	6778	2597
723	6787	2587
724	6796	2578
725	6805	2568
726	6814	2559
727	6824	2549
728	6832	2540
729	6841	2530
730	6850	2520
731	6858	2511
732	6868	2501
733	6877	2492
734	6886	2482
735	6895	2473
736	6905	2464
737	6915	2455
738	6923	2445
739	6932	2435
740	6941	2426
741	6949	2416
742	6958	2407
743	6967	2397
744	6976	2388
745	6985	2378
746	6994	2368
747	7003	2359
748	7012	2349
749	7022	2340
750	7031	2331
751	7040	2321
752	7050	2312
753	7060	2303
754	7069	2294
755	7082	2285
756	7092	2276
757	7101	2267
758	7110	2257
759	7119	2248
760	7128	2238
761	7137	2229
762	7146	2219
763	7154	2210
764	7163	2200
765	7171	2190
766	7180	2181
767	7188	2171
768	7197	2162
769	7205	2152
770	7214	2142
771	7222	2133
772	7230	2123
773	7239	2113
774	7247	2104
775	7256	2094
776	7265	2085
777	7274	2075
778	7283	2066
779	7291	2056
780	7300	2047
781	7308	2037
782	7317	2028
783	7326	2018
784	7335	2009
785	7350	2001
786	7359	1991
787	7370	1982
788	7379	1973
789	7390	1964
790	7399	1955
791	7408	1945
792	7418	1936
793	7427	1927
794	7438	1918
795	7449	1909
796	7460	1900
797	7469	1890
798	7477	1881
799	7488	1872
800	7498	1862
801	7506	1853
802	7515	1843
803	7524	1834
804	7533	1824
805	7542	1815
806	7551	1806
807	7560	1796
808	7570	1787
809	7578	1777
810	7588	1768
811	7597	1759
812	7606	1749
813	7615	1740
814	7624	1730
815	7632	1721
816	7642	1711
817	7651	1702
818	7661	1693
819	7675	1684
820	7684	1675
821	7693	1665
822	7702	1656
823	7712	1647
824	7723	1638
825	7736	1629
826	7745	1620
827	7754	1610
828	7763	1601
829	7772	1591
830	7781	1582
831	7790	1573
832	7800	1563
833	7811	1554
834	7822	1545
835	7831	1536
836	7840	1526
837	7849	1517
838	7858	1508
839	7867	1498
840	7875	1488
841	7884	1479
842	7895	1470
843	7904	1460
844	7913	1451
845	7922	1442
846	7930	1432
847	7940	1423
848	7948	1413
849	7957	1404
850	7966	1394
851	7975	1385
852	7983	1375
853	7992	1366
854	8005	1357
855	8014	1348
856	8024	1338
857	8032	1329
858	8042	1320
859	8051	1310
860	8061	1301
861	8070	1292
862	8079	1282
863	8088	1273
864	8096	1263
865	8108	1254
866	8117	1245
867	8126	1235
868	8135	1226
869	8146	1217
870	8155	1207
871	8165	1198
872	8175	1189
873	8184	1179
874	8194	1170
875	8205	1161
876	8214	1152
877	8223	1142
878	8233	1133
879	8245	1124
880	8253	1114
881	8263	1105
882	8273	1096
883	8283	1086
884	8292	1077
885	8303	1068
886	8312	1058
887	8321	1049
888	8331	1040
889	8340	1030
890	8350	1021
891	8361	1012
892	8370	1002
893	8380	993
894	8388	984
895	8397	974
896	8407	965
897	8416	955
898	8425	946
899	8433	937
900	8443	927
901	8452	918
902	8460	908
903	8470	899
904	8479	890
905	8488	880
906	8497	871
907	8506	861
908	8516	852
909	8525	843
910	8534	833
911	8543	824
912	8552	814
913	8562	805
914	8572	796
915	8582	787
916	8591	777
917	8601	768
918	8609	758
919	8619	749
920	8628	740
921	8637	730
922	8647	721
923	8656	711
924	8664	702
925	8673	693
926	8681	683
927	8690	674
928	8699	664
929	8708	655
930	8716	646
931	8727	636
932	8736	627
933	8744	617
